quadgram,quad_count,suffix,obscenity
the_end_of_the,176,the,FALSE
thanks_for_the_follow,174,follow,FALSE
the_rest_of_the,132,the,FALSE
at_the_end_of,131,of,FALSE
for_the_first_time,111,time,FALSE
thank_you_for_the,110,the,FALSE
at_the_same_time,104,time,FALSE
can't_wait_to_see,103,see,FALSE
thanks_for_the_rt,95,rt,FALSE
if_you_want_to,94,to,FALSE
is_going_to_be,94,be,FALSE
in_the_middle_of,89,of,FALSE
when_it_comes_to,87,to,FALSE
to_be_able_to,85,to,FALSE
going_to_be_a,81,a,FALSE
thank_you_so_much,77,much,FALSE
one_of_the_most,74,most,FALSE
i_don't_want_to,70,to,FALSE
i_wish_i_could,65,could,FALSE
i_was_going_to,64,to,FALSE
i_would_like_to,64,to,FALSE
i_can't_wait_to,63,to,FALSE
have_a_great_day,61,day,FALSE
i_am_going_to,61,to,FALSE
is_one_of_the,61,the,FALSE
one_of_my_favorite,59,favorite,FALSE
one_of_the_best,57,best,FALSE
i_would_love_to,56,to,FALSE
thanks_so_much_for,55,for,FALSE
the_middle_of_the,52,the,FALSE
i_just_want_to,50,to,FALSE
on_the_other_hand,49,hand,FALSE
i_have_no_idea,48,idea,FALSE
for_the_rest_of,47,of,FALSE
as_much_as_i,45,i,FALSE
a_bit_of_a,43,a,FALSE
was_one_of_the,43,the,FALSE
it's_going_to_be,42,be,FALSE
as_well_as_the,41,the,FALSE
on_my_way_to,41,to,FALSE
the_bottom_of_the,41,the,FALSE
what_do_you_think,41,think,FALSE
are_you_going_to,40,to,FALSE
to_go_to_the,40,the,FALSE
have_a_lot_of,39,of,FALSE
i_want_to_be,39,be,FALSE
in_the_first_place,39,place,FALSE
you_so_much_for,39,for,FALSE
a_little_bit_of,38,of,FALSE
be_a_part_of,38,of,FALSE
by_the_end_of,38,of,FALSE
hope_you_have_a,38,a,FALSE
do_you_have_a,37,a,FALSE
hope_to_see_you,37,you,FALSE
the_best_way_to,37,to,FALSE
hope_all_is_well,36,well,FALSE
i_wish_i_had,36,had,FALSE
so_much_for_the,36,the,FALSE
the_back_of_the,36,the,FALSE
as_soon_as_i,35,i,FALSE
take_a_look_at,35,at,FALSE
the_top_of_the,35,the,FALSE
there_are_so_many,35,many,FALSE
wait_to_see_you,35,you,FALSE
had_a_great_time,34,time,FALSE
have_a_great_weekend,34,weekend,FALSE
i_thought_it_was,34,was,FALSE
is_one_of_my,34,my,FALSE
going_to_have_to,33,to,FALSE
i_want_to_go,33,go,FALSE
i_was_able_to,33,to,FALSE
the_first_time_in,33,in,FALSE
for_the_shout_out,32,out,FALSE
i_don't_know_what,32,what,FALSE
most_of_the_time,32,time,FALSE
thanks_for_the_mention,32,mention,FALSE
a_few_weeks_ago,31,ago,FALSE
a_lot_of_people,31,people,FALSE
as_a_result_of,31,of,FALSE
for_a_couple_of,31,of,FALSE
for_those_of_you,31,you,FALSE
i_need_to_get,31,get,FALSE
looking_forward_to_the,31,the,FALSE
thought_it_would_be,31,be,FALSE
i_have_to_say,30,say,FALSE
if_you_have_any,30,any,FALSE
looking_forward_to_it,30,it,FALSE
thank_you_for_your,30,your,FALSE
that_awkward_moment_when,30,when,FALSE
this_is_one_of,30,of,FALSE
to_get_out_of,30,of,FALSE
we_are_going_to,30,to,FALSE
