trigram,tri_count,suffix,obscenity
thanks_for_the,690,the,FALSE
one_of_the,616,the,FALSE
a_lot_of,558,of,FALSE
i_want_to,395,to,FALSE
to_be_a,372,a,FALSE
going_to_be,372,be,FALSE
it_was_a,318,a,FALSE
the_end_of,316,of,FALSE
out_of_the,304,the,FALSE
thank_you_for,300,for,FALSE
i_love_you,295,you,FALSE
looking_forward_to,290,to,FALSE
be_able_to,283,to,FALSE
i_have_to,283,to,FALSE
i_have_a,281,a,FALSE
i_need_to,272,to,FALSE
can't_wait_to,249,to,FALSE
there_is_a,240,a,FALSE
as_well_as,240,as,FALSE
is_going_to,237,to,FALSE
some_of_the,235,the,FALSE
the_rest_of,234,of,FALSE
you_want_to,234,to,FALSE
a_couple_of,233,of,FALSE
for_the_follow,233,follow,FALSE
one_of_my,232,my,FALSE
end_of_the,214,the,FALSE
i_had_to,209,to,FALSE
the_fact_that,208,that,FALSE
this_is_a,207,a,FALSE
part_of_the,202,the,FALSE
i'm_going_to,201,to,FALSE
i_have_been,198,been,FALSE
to_go_to,197,to,FALSE
it_is_a,195,a,FALSE
you_have_a,194,a,FALSE
you_have_to,194,to,FALSE
have_a_great,194,great,FALSE
this_is_the,187,the,FALSE
in_the_world,185,world,FALSE
the_first_time,182,time,FALSE
i_think_i,182,i,FALSE
to_have_a,179,a,FALSE
it_would_be,179,be,FALSE
i_don't_know,174,know,FALSE
if_you_are,173,are,FALSE
i_will_be,173,be,FALSE
i_am_not,171,not,FALSE
to_see_you,171,you,FALSE
i_wanted_to,169,to,FALSE
when_i_was,162,was,FALSE
to_see_the,160,the,FALSE
is_one_of,159,of,FALSE
one_of_those,159,those,FALSE
to_make_a,159,a,FALSE
at_the_end,159,end,FALSE
if_you_want,159,want,FALSE
let_me_know,159,know,FALSE
all_of_the,158,the,FALSE
of_the_day,158,day,FALSE
i_wish_i,158,i,FALSE
in_order_to,155,to,FALSE
there_is_no,150,no,FALSE
i_had_a,150,a,FALSE
i_feel_like,148,like,FALSE
want_to_be,146,be,FALSE
for_the_first,145,first,FALSE
to_get_a,144,a,FALSE
if_you_have,143,have,FALSE
most_of_the,142,the,FALSE
in_front_of,142,of,FALSE
it_will_be,138,be,FALSE
would_like_to,138,to,FALSE
rest_of_the,137,the,FALSE
back_to_the,137,the,FALSE
was_going_to,136,to,FALSE
as_long_as,134,as,FALSE
we_need_to,132,to,FALSE
i_love_the,130,the,FALSE
for_the_rt,130,rt,FALSE
there_was_a,129,a,FALSE
you_need_to,129,to,FALSE
don't_want_to,129,to,FALSE
to_do_with,129,with,FALSE
i_have_no,127,no,FALSE
would_love_to,126,to,FALSE
thanks_so_much,125,much,FALSE
what_do_you,124,you,FALSE
to_get_the,123,the,FALSE
wait_to_see,123,see,FALSE
a_bit_of,123,of,FALSE
i_don't_think,122,think,FALSE
as_much_as,122,as,FALSE
so_much_for,122,for,FALSE
in_the_middle,121,middle,FALSE
to_be_the,121,the,FALSE
in_the_morning,121,morning,FALSE
of_the_year,120,year,FALSE
and_i_have,120,have,FALSE
go_to_the,118,the,FALSE
of_the_most,116,most,FALSE
at_the_same,115,same,FALSE
you_for_the,115,the,FALSE
to_make_it,114,it,FALSE
i_am_so,114,so,FALSE
thanks_for_following,114,following,FALSE
in_my_life,112,life,FALSE
the_same_time,112,time,FALSE
we_have_a,112,a,FALSE
that_i_have,112,have,FALSE
have_to_be,111,be,FALSE
that_i_am,110,am,FALSE
it_is_the,109,the,FALSE
i_am_a,109,a,FALSE
i_can't_wait,109,wait,FALSE
i_know_i,109,i,FALSE
are_going_to,108,to,FALSE
i_hope_you,108,you,FALSE
how_are_you,107,you,FALSE
so_i_can,107,can,FALSE
the_middle_of,106,of,FALSE
in_the_past,106,past,FALSE
and_i_am,106,am,FALSE
and_i_was,106,was,FALSE
you_so_much,106,much,FALSE
it_was_the,105,the,FALSE
to_be_in,105,in,FALSE
a_little_bit,105,bit,FALSE
all_the_time,104,time,FALSE
of_the_world,104,world,FALSE
it_is_not,104,not,FALSE
for_me_to,104,to,FALSE
do_you_think,104,think,FALSE
a_great_day,104,day,FALSE
looking_for_a,103,a,FALSE
will_be_a,103,a,FALSE
i_decided_to,103,to,FALSE
as_soon_as,102,as,FALSE
wish_i_could,102,could,FALSE
for_a_while,101,while,FALSE
need_to_be,101,be,FALSE
look_forward_to,101,to,FALSE
would_be_a,99,a,FALSE
if_you_don't,99,don't,FALSE
and_it_was,99,was,FALSE
i_was_in,99,in,FALSE
i_think_it,99,it,FALSE
in_the_first,98,first,FALSE
had_a_great,98,great,FALSE
that_it_was,97,was,FALSE
that_would_be,97,be,FALSE
i_don't_want,97,want,FALSE
a_long_time,97,time,FALSE
when_it_comes,97,comes,FALSE
i_know_that,96,that,FALSE
do_you_have,96,have,FALSE
to_do_it,95,it,FALSE
i_need_a,95,a,FALSE
there_will_be,94,be,FALSE
on_the_other,93,other,FALSE
not_going_to,93,to,FALSE
to_get_to,93,to,FALSE
at_the_time,93,time,FALSE
in_the_same,92,same,FALSE
is_in_the,92,the,FALSE
it_comes_to,92,to,FALSE
i_love_it,92,it,FALSE
i_went_to,92,to,FALSE
is_the_best,92,best,FALSE
for_a_few,91,few,FALSE
be_sure_to,91,to,FALSE
i_used_to,91,to,FALSE
how_do_you,89,you,FALSE
i_don't_have,89,have,FALSE
because_of_the,88,the,FALSE
but_i_think,88,think,FALSE
is_not_a,87,a,FALSE
you_know_what,87,what,FALSE
i_got_a,87,a,FALSE
the_united_states,86,states,FALSE
would_have_been,86,been,FALSE
need_to_get,86,get,FALSE
a_part_of,85,of,FALSE
to_be_able,85,able,FALSE
is_a_great,85,great,FALSE
but_it_was,84,was,FALSE
it_has_been,84,been,FALSE
you_can_see,84,see,FALSE
but_it_is,84,is,FALSE
that_it_is,84,is,FALSE
i_would_be,84,be,FALSE
a_few_days,84,days,FALSE
to_take_a,83,a,FALSE
i_miss_you,83,you,FALSE
to_see_what,83,what,FALSE
but_i_have,83,have,FALSE
supposed_to_be,83,be,FALSE
it_in_the,83,the,FALSE
want_to_go,83,go,FALSE
up_in_the,82,the,FALSE
that_i_was,82,was,FALSE
thank_you_to,82,to,FALSE
thank_you_so,82,so,FALSE
in_love_with,82,with,FALSE
what_are_you,82,you,FALSE
according_to_the,81,the,FALSE
i_think_the,81,the,FALSE
trying_to_get,81,get,FALSE
of_the_best,81,best,FALSE
at_the_moment,81,moment,FALSE
have_a_good,81,good,FALSE
i_would_like,81,like,FALSE
of_my_life,81,life,FALSE
i_was_a,81,a,FALSE
on_the_way,80,way,FALSE
what_to_do,80,do,FALSE
to_all_the,80,the,FALSE
i_just_want,80,want,FALSE
that_i_can,80,can,FALSE
please_follow_me,80,me,FALSE
all_over_the,79,the,FALSE
of_my_favorite,79,favorite,FALSE
for_the_next,79,next,FALSE
check_it_out,79,out,FALSE
a_bunch_of,79,of,FALSE
do_you_know,79,know,FALSE
can't_wait_for,79,for,FALSE
in_the_future,78,future,FALSE
just_want_to,78,to,FALSE
i_do_not,78,not,FALSE
have_no_idea,78,idea,FALSE
i_love_that,78,that,FALSE
more_than_a,77,a,FALSE
to_say_that,77,that,FALSE
seems_to_be,77,be,FALSE
i_don’t_know,77,know,FALSE
be_a_good,77,good,FALSE
the_same_thing,77,thing,FALSE
it_to_the,76,the,FALSE
have_to_do,76,do,FALSE
to_talk_to,76,to,FALSE
the_only_one,76,one,FALSE
go_back_to,76,to,FALSE
i_would_have,76,have,FALSE
know_how_to,76,to,FALSE
but_i_am,76,am,FALSE
will_be_the,75,the,FALSE
side_of_the,75,the,FALSE
i_was_just,75,just,FALSE
and_it_is,75,is,FALSE
to_make_sure,74,sure,FALSE
out_of_my,74,my,FALSE
was_one_of,74,of,FALSE
to_make_the,74,the,FALSE
