unigram,uni_count,obscenity
the,86730,FALSE
to,56628,FALSE
and,46732,FALSE
a,46198,FALSE
i,44518,FALSE
of,38113,FALSE
in,30054,FALSE
you,24650,FALSE
is,23709,FALSE
for,22618,FALSE
that,21229,FALSE
it,21052,FALSE
my,16691,FALSE
on,16226,FALSE
with,13974,FALSE
this,12658,FALSE
was,12245,FALSE
be,11824,FALSE
have,11613,FALSE
at,10965,FALSE
are,10543,FALSE
but,10098,FALSE
me,10065,FALSE
so,9883,FALSE
we,9556,FALSE
as,9228,FALSE
not,8920,FALSE
all,7856,FALSE
your,7783,FALSE
just,7420,FALSE
from,7301,FALSE
he,6709,FALSE
up,6634,FALSE
out,6616,FALSE
like,6587,FALSE
what,6573,FALSE
or,6509,FALSE
if,6466,FALSE
they,6337,FALSE
will,6200,FALSE
one,6173,FALSE
about,6105,FALSE
do,5917,FALSE
can,5714,FALSE
by,5618,FALSE
when,5595,FALSE
get,5403,FALSE
an,5351,FALSE
time,4982,FALSE
more,4885,FALSE
i'm,4835,FALSE
there,4740,FALSE
his,4715,FALSE
had,4592,FALSE
some,4497,FALSE
good,4495,FALSE
no,4447,FALSE
love,4436,FALSE
her,4395,FALSE
who,4374,FALSE
has,4365,FALSE
now,4286,FALSE
our,4283,FALSE
how,4246,FALSE
would,4213,FALSE
know,4212,FALSE
day,4089,FALSE
it's,3856,FALSE
she,3797,FALSE
new,3767,FALSE
been,3734,FALSE
their,3673,FALSE
them,3539,FALSE
see,3491,FALSE
go,3396,FALSE
people,3368,FALSE
back,3228,FALSE
were,3185,FALSE
think,3064,FALSE
don't,3051,FALSE
great,3017,FALSE
going,2903,FALSE
make,2886,FALSE
thanks,2863,FALSE
only,2803,FALSE
really,2789,FALSE
then,2783,FALSE
today,2778,FALSE
us,2775,FALSE
too,2768,FALSE
much,2738,FALSE
am,2649,FALSE
got,2641,FALSE
rt,2633,FALSE
which,2624,FALSE
well,2614,FALSE
want,2588,FALSE
into,2551,FALSE
first,2540,FALSE
than,2484,FALSE
because,2480,FALSE
way,2461,FALSE
him,2447,FALSE
even,2441,FALSE
work,2439,FALSE
over,2431,FALSE
right,2409,FALSE
did,2402,FALSE
need,2372,FALSE
could,2347,FALSE
other,2343,FALSE
here,2341,FALSE
its,2286,FALSE
last,2286,FALSE
still,2257,FALSE
u,2221,FALSE
also,2205,FALSE
after,2194,FALSE
very,2181,FALSE
said,2126,FALSE
lol,2110,FALSE
off,2101,FALSE
never,2097,FALSE
2,2089,FALSE
3,2089,FALSE
life,2089,FALSE
any,2037,FALSE
where,1984,FALSE
down,1983,FALSE
should,1938,FALSE
these,1934,FALSE
say,1932,FALSE
little,1918,FALSE
being,1907,FALSE
why,1901,FALSE
take,1895,FALSE
come,1894,FALSE
many,1862,FALSE
things,1841,FALSE
happy,1812,FALSE
two,1795,FALSE
most,1789,FALSE
those,1776,FALSE
night,1768,FALSE
year,1745,FALSE
best,1730,FALSE
week,1726,FALSE
made,1718,FALSE
something,1710,FALSE
always,1707,FALSE
before,1689,FALSE
next,1674,FALSE
can't,1601,FALSE
home,1567,FALSE
while,1539,FALSE
follow,1535,FALSE
may,1527,FALSE
1,1515,FALSE
through,1510,FALSE
world,1506,FALSE
better,1493,FALSE
again,1485,FALSE
hope,1483,FALSE
$,1481,FALSE
look,1479,FALSE
sure,1465,FALSE
years,1464,FALSE
thank,1462,FALSE
around,1461,FALSE
feel,1441,FALSE
show,1416,FALSE
that's,1414,FALSE
man,1407,FALSE
long,1386,FALSE
few,1380,FALSE
tonight,1366,FALSE
<,1363,FALSE
thing,1338,FALSE
every,1337,FALSE
big,1320,FALSE
use,1308,FALSE
another,1300,FALSE
keep,1284,FALSE
ever,1279,FALSE
same,1277,FALSE
let,1273,FALSE
oh,1271,FALSE
book,1262,FALSE
you're,1259,FALSE
school,1253,FALSE
find,1250,FALSE
looking,1230,FALSE
does,1228,FALSE
i've,1216,FALSE
help,1215,FALSE
it’s,1210,FALSE
yes,1205,FALSE
getting,1196,FALSE
days,1189,FALSE
game,1166,FALSE
god,1158,FALSE
doing,1149,FALSE
since,1143,FALSE
give,1140,FALSE
please,1135,FALSE
fun,1134,FALSE
own,1131,FALSE
everyone,1129,FALSE
4,1104,FALSE
morning,1101,FALSE
thought,1098,FALSE
put,1097,FALSE
such,1083,FALSE
i'll,1076,FALSE
old,1066,FALSE
someone,1066,FALSE
though,1055,FALSE
place,1037,FALSE
until,1034,FALSE
lot,1031,FALSE
tell,1030,FALSE
friends,1024,FALSE
pretty,1002,FALSE
start,998,FALSE
wait,998,FALSE
having,994,FALSE
nice,994,FALSE
away,993,FALSE
both,993,FALSE
used,993,FALSE
done,989,FALSE
end,988,FALSE
free,988,FALSE
read,981,FALSE
might,980,FALSE
bad,978,FALSE
each,975,FALSE
didn't,974,FALSE
live,970,FALSE
house,960,FALSE
without,950,FALSE
family,948,FALSE
tomorrow,948,FALSE
twitter,944,FALSE
real,930,FALSE
actually,922,FALSE
im,918,FALSE
part,917,FALSE
already,913,FALSE
i’m,910,FALSE
try,910,FALSE
music,909,FALSE
call,905,FALSE
soon,901,FALSE
weekend,880,FALSE
went,880,FALSE
don’t,878,FALSE
yet,878,FALSE
hard,870,FALSE
awesome,867,FALSE
enough,864,FALSE
coming,862,FALSE
found,858,FALSE
myself,858,FALSE
5,854,FALSE
times,850,FALSE
trying,846,FALSE
makes,845,FALSE
play,838,FALSE
nothing,835,FALSE
must,831,FALSE
working,828,FALSE
girl,822,FALSE
haha,819,FALSE
hey,819,FALSE
story,816,FALSE
came,814,FALSE
once,808,FALSE
left,805,FALSE
guys,804,FALSE
check,802,FALSE
everything,802,FALSE
making,800,FALSE
maybe,793,FALSE
d,788,FALSE
person,778,FALSE
post,778,FALSE
10,774,FALSE
food,771,FALSE
anyone,766,FALSE
stop,764,FALSE
three,763,FALSE
anything,762,FALSE
blog,757,FALSE
miss,756,FALSE
amazing,755,FALSE
name,755,FALSE
kids,753,FALSE
course,750,FALSE
money,750,FALSE
bit,742,FALSE
different,741,FALSE
city,733,FALSE
watching,729,FALSE
believe,728,FALSE
head,728,FALSE
started,728,FALSE
